Date,Adj Close
12/19/16,40.546001
12/20/16,41.757999
12/21/16,41.540001
12/22/16,41.689999
12/23/16,42.667999
12/27/16,43.905998
12/28/16,43.948002
12/29/16,42.936001
12/30/16,42.737999
1/3/17,43.397999
1/4/17,45.397999
1/5/17,45.349998
1/6/17,45.801998
1/9/17,46.256001
1/10/17,45.973999
1/11/17,45.945999
1/12/17,45.917999
1/13/17,47.549999
1/17/17,47.116001
1/18/17,47.672001
1/19/17,48.751999
1/20/17,48.945999
1/23/17,49.784
1/24/17,50.922001
1/25/17,50.894001
1/26/17,50.501999
1/27/17,50.59
1/30/17,50.125999
1/31/17,50.386002
2/1/17,49.848
2/2/17,50.310001
2/3/17,50.265999
2/6/17,51.554001
2/7/17,51.495998
2/8/17,52.416
2/9/17,53.84
2/10/17,53.846001
2/13/17,56.119999
2/14/17,56.195999
2/15/17,55.952
2/16/17,53.790001
2/17/17,54.445999
2/21/17,55.478001
2/22/17,54.702
2/23/17,51.198002
2/24/17,51.400002
2/27/17,49.245998
2/28/17,49.998001
3/1/17,50.004002
3/2/17,50.096001
3/3/17,50.313999
3/6/17,50.242001
3/7/17,49.717999
3/8/17,49.374001
3/9/17,48.98
3/10/17,48.737999
3/13/17,49.234001
3/14/17,51.599998
3/15/17,51.146
3/16/17,52.41
3/17/17,52.299999
3/20/17,52.383999
3/21/17,50.136002
3/22/17,51.001999
3/23/17,50.956001
3/24/17,52.632
3/27/17,54.043999
3/28/17,55.490002
3/29/17,55.476002
3/30/17,55.584
3/31/17,55.66
4/3/17,59.703999
4/4/17,60.740002
4/5/17,59
4/6/17,59.740002
4/7/17,60.507999
4/10/17,62.478001
4/11/17,61.742001
4/12/17,59.368
4/13/17,60.799999
4/17/17,60.287998
4/18/17,60.049999
4/19/17,61.104
4/20/17,60.501999
4/21/17,61.119999
4/24/17,61.605999
4/25/17,62.757999
4/26/17,62.034
4/27/17,61.726002
4/28/17,62.813999
5/1/17,64.566002
5/2/17,63.778
5/3/17,62.203999
5/4/17,59.091999
5/5/17,61.669998
5/8/17,61.438
5/9/17,64.251999
5/10/17,65.043999
5/11/17,64.620003
5/12/17,64.961998
5/15/17,63.175999
5/16/17,63.402
5/17/17,61.222
5/18/17,62.612
5/19/17,62.166
5/22/17,62.07
5/23/17,60.771999
5/24/17,62.043999
5/25/17,63.366001
5/26/17,65.028
5/30/17,67.019997
5/31/17,68.202003
6/1/17,68.073997
6/2/17,67.970001
6/5/17,69.463997
6/6/17,70.57
6/7/17,71.93
6/8/17,74
6/9/17,71.463997
6/12/17,71.802002
6/13/17,75.190002
6/14/17,76.132004
6/15/17,75.068001
6/16/17,74.279999
6/19/17,73.959999
6/20/17,74.447998
6/21/17,75.279999
6/22/17,76.522003
6/23/17,76.690002
6/26/17,75.498001
6/27/17,72.473999
6/28/17,74.248001
6/29/17,72.150002
6/30/17,72.321999
7/3/17,70.524002
7/5/17,65.417999
7/6/17,61.765999
7/7/17,62.644001
7/10/17,63.209999
7/11/17,65.444
7/12/17,65.903999
7/13/17,64.681999
7/14/17,65.556
7/17/17,63.914001
7/18/17,65.648003
7/19/17,65.052002
7/20/17,65.984001
7/21/17,65.68
7/24/17,68.503998
7/25/17,67.919998
7/26/17,68.769997
7/27/17,66.891998
7/28/17,67.014
7/31/17,64.694
8/1/17,63.914001
8/2/17,65.178001
8/3/17,69.417999
8/4/17,71.382004
8/7/17,71.033997
8/8/17,73.043999
8/9/17,72.706001
8/10/17,71.080002
8/11/17,71.573997
8/14/17,72.760002
8/15/17,72.466003
8/16/17,72.582001
8/17/17,70.384003
8/18/17,69.491997
8/21/17,67.571999
8/22/17,68.269997
8/23/17,70.554001
8/24/17,70.585999
8/25/17,69.610001
8/28/17,69.132004
8/29/17,69.472
8/30/17,70.636002
8/31/17,71.18
9/1/17,71.080002
9/5/17,69.917999
9/6/17,68.905998
9/7/17,70.122002
9/8/17,68.68
9/11/17,72.737999
9/12/17,72.550003
9/13/17,73.246002
9/14/17,75.528
9/15/17,75.961998
9/18/17,77
9/19/17,75.019997
9/20/17,74.781998
9/21/17,73.295998
9/22/17,70.218002
9/25/17,68.998001
9/26/17,69.050003
9/27/17,68.194
9/28/17,67.919998
9/29/17,68.220001
10/2/17,68.306
10/3/17,69.627998
10/4/17,71.001999
10/5/17,71.066002
10/6/17,71.375999
10/9/17,68.587997
10/10/17,71.117996
10/11/17,70.919998
10/12/17,71.136002
10/13/17,71.113998
10/16/17,70.120003
10/17/17,71.150002
10/18/17,71.93
10/19/17,70.362
10/20/17,69.019997
10/23/17,67.403999
10/24/17,67.468002
10/25/17,65.167999
10/26/17,65.234001
10/27/17,64.174004
10/30/17,64.015999
10/31/17,66.306
11/1/17,64.216003
11/2/17,59.852001
11/3/17,61.217999
11/6/17,60.556
11/7/17,61.209999
11/8/17,60.877998
11/9/17,60.598
11/10/17,60.598
11/13/17,63.080002
11/14/17,61.740002
11/15/17,62.259998
11/16/17,62.5
11/17/17,63.009998
11/20/17,61.748001
11/21/17,63.562
11/22/17,62.52
11/24/17,63.110001
11/27/17,63.362
11/28/17,63.509998
11/29/17,61.507999
11/30/17,61.77
12/1/17,61.306
12/4/17,61.040001
12/5/17,60.740002
12/6/17,62.652
12/7/17,62.248001
12/8/17,63.026001
12/11/17,65.781998
12/12/17,68.206001
12/13/17,67.806
12/14/17,67.578003
12/15/17,68.690002
12/18/17,67.774002
12/19/17,66.220001
12/20/17,65.795998
12/21/17,66.332001
12/22/17,65.040001
12/26/17,63.458
12/27/17,62.327999
12/28/17,63.071999
12/29/17,62.27
1/2/18,64.106003
1/3/18,63.450001
1/4/18,62.924
1/5/18,63.316002
1/8/18,67.281998
1/9/18,66.737999
1/10/18,66.959999
1/11/18,67.589996
1/12/18,67.244003
1/16/18,68.012001
1/17/18,69.431999
1/18/18,68.914001
1/19/18,70.003998
1/22/18,70.311996
1/23/18,70.557999
1/24/18,69.178001
1/25/18,67.528
1/26/18,68.57
1/29/18,69.905998
1/30/18,69.164001
1/31/18,70.862
2/1/18,69.849998
2/2/18,68.75
2/5/18,66.625999
2/6/18,66.793999
2/7/18,69
2/8/18,63.046001
2/9/18,62.084
2/12/18,63.146
2/13/18,64.732002
2/14/18,64.461998
2/15/18,66.814003
2/16/18,67.098
2/20/18,66.954002
2/21/18,66.660004
2/22/18,69.234001
2/23/18,70.410004
2/26/18,71.484001
2/27/18,70.197998
2/28/18,68.612
3/1/18,66.185997
3/2/18,67.024002
3/5/18,66.669998
3/6/18,65.639999
3/7/18,66.459999
3/8/18,65.82
3/9/18,65.433998
3/12/18,69.101997
3/13/18,68.367996
3/14/18,65.325996
3/15/18,65.120003
3/16/18,64.269997
3/19/18,62.712002
3/20/18,62.110001
3/21/18,63.306
3/22/18,61.82
3/23/18,60.307999
3/26/18,60.835999
3/27/18,55.835999
3/28/18,51.556
3/29/18,53.226002
4/2/18,50.495998
4/3/18,53.506001
4/4/18,57.388
4/5/18,61.144001
4/6/18,59.860001
4/9/18,57.931999
4/10/18,60.939999
4/11/18,60.186001
4/12/18,58.816002
4/13/18,60.068001
4/16/18,58.242001
4/17/18,57.537998
4/18/18,58.669998
4/19/18,60.015999
4/20/18,58.048
4/23/18,56.674
4/24/18,56.692001
4/25/18,56.138
4/26/18,57.096001
4/27/18,58.816002
4/30/18,58.779999
5/1/18,59.984001
5/2/18,60.23
5/3/18,56.889999
5/4/18,58.818001
5/7/18,60.554001
5/8/18,60.394001
5/9/18,61.369999
5/10/18,61.004002
5/11/18,60.212002
5/14/18,58.394001
5/15/18,56.835999
5/16/18,57.296001
5/17/18,56.908001
5/18/18,55.363998
5/21/18,56.897999
5/22/18,55.001999
5/23/18,55.813999
5/24/18,55.57
5/25/18,55.77
5/29/18,56.751999
5/30/18,58.344002
5/31/18,56.945999
6/1/18,58.363998
6/4/18,59.348
6/5/18,58.226002
6/6/18,63.900002
6/7/18,63.217999
6/8/18,63.532001
6/11/18,66.419998
6/12/18,68.554001
6/13/18,68.956001
6/14/18,71.543999
6/15/18,71.634003
6/18/18,74.166
6/19/18,70.510002
6/20/18,72.444
6/21/18,69.501999
6/22/18,66.725998
6/25/18,66.601997
6/26/18,68.400002
6/27/18,68.900002
6/28/18,69.986
6/29/18,68.589996
7/2/18,67.014
7/3/18,62.172001
7/5/18,61.832001
7/6/18,61.779999
7/9/18,63.702
7/10/18,64.494003
7/11/18,63.792
7/12/18,63.341999
7/13/18,63.773998
7/16/18,62.02
7/17/18,64.538002
7/18/18,64.769997
7/19/18,64.045998
7/20/18,62.716
7/23/18,60.639999
7/24/18,59.486
7/25/18,61.748001
7/26/18,61.330002
7/27/18,59.436001
7/30/18,58.034
7/31/18,59.627998
8/1/18,60.167999
8/2/18,69.907997
8/3/18,69.634003
8/6/18,68.398003
8/7/18,75.914001
8/8/18,74.068001
8/9/18,70.489998
8/10/18,71.098
8/13/18,71.281998
8/14/18,69.528
8/15/18,67.737999
8/16/18,67.089996
8/17/18,61.099998
8/20/18,61.688
8/21/18,64.379997
8/22/18,64.328003
8/23/18,64.019997
8/24/18,64.564003
8/27/18,63.854
8/28/18,62.372002
8/29/18,61.001999
8/30/18,60.630001
8/31/18,60.332001
9/4/18,57.790001
9/5/18,56.147999
9/6/18,56.189999
9/7/18,52.647999
9/10/18,57.099998
9/11/18,55.888
9/12/18,58.108002
9/13/18,57.891998
9/14/18,59.040001
9/17/18,58.967999
9/18/18,56.992001
9/19/18,59.804001
9/20/18,59.666
9/21/18,59.82
9/24/18,59.936001
9/25/18,60.198002
9/26/18,61.916
9/27/18,61.504002
9/28/18,52.953999
10/1/18,62.139999
10/2/18,60.203999
10/3/18,58.959999
10/4/18,56.366001
10/5/18,52.389999
10/8/18,50.112
10/9/18,52.560001
10/10/18,51.375999
10/11/18,50.445999
10/12/18,51.756001
10/15/18,51.917999
10/16/18,55.318001
10/17/18,54.355999
10/18/18,52.782001
10/19/18,52
10/22/18,52.189999
10/23/18,58.827999
10/24/18,57.700001
10/25/18,62.972
10/26/18,66.18
10/29/18,66.970001
10/30/18,65.980003
10/31/18,67.463997
11/1/18,68.856003
11/2/18,69.281998
11/5/18,68.279999
11/6/18,68.211998
11/7/18,69.632004
11/8/18,70.279999
11/9/18,70.101997
11/12/18,66.255997
11/13/18,67.746002
11/14/18,68.800003
11/15/18,69.688004
11/16/18,70.862
11/19/18,70.694
11/20/18,69.498001
11/21/18,67.638
11/23/18,65.166
11/26/18,69.199997
11/27/18,68.783997
11/28/18,69.573997
11/29/18,68.234001
11/30/18,70.096001
12/3/18,71.697998
12/4/18,71.940002
12/6/18,72.612
12/7/18,71.594002
12/10/18,73.029999
12/11/18,73.351997
12/12/18,73.32
12/13/18,75.358002
12/14/18,73.141998
12/17/18,69.683998
12/18/18,67.405998
12/19/18,66.594002
12/20/18,63.076
12/21/18,63.953999
12/24/18,59.077999
12/26/18,65.218002
12/27/18,63.226002
12/28/18,66.774002
12/31/18,66.559998
1/2/19,62.023998
1/3/19,60.071999
1/4/19,63.537998
1/7/19,66.991997
1/8/19,67.07
1/9/19,67.706001
1/10/19,68.994003
1/11/19,69.452003
1/14/19,66.879997
1/15/19,68.886002
1/16/19,69.209999
1/17/19,69.461998
1/18/19,60.452
1/22/19,59.784
1/23/19,57.518002
1/24/19,58.301998
1/25/19,59.408001
1/28/19,59.276001
1/29/19,59.492001
1/30/19,61.754002
1/31/19,61.403999
2/1/19,62.442001
2/4/19,62.577999
2/5/19,64.269997
2/6/19,63.444
2/7/19,61.501999
2/8/19,61.16
2/11/19,62.568001
2/12/19,62.362
2/13/19,61.633999
2/14/19,60.754002
2/15/19,61.576
2/19/19,61.127998
2/20/19,60.512001
2/21/19,58.245998
2/22/19,58.942001
2/25/19,59.754002
2/26/19,59.571999
2/27/19,62.948002
2/28/19,63.976002
3/1/19,58.958
3/4/19,57.071999
3/5/19,55.307999
3/6/19,55.248001
3/7/19,55.318001
3/8/19,56.827999
3/11/19,58.183998
3/12/19,56.672001
3/13/19,57.792
3/14/19,57.992001
3/15/19,55.085999
3/18/19,53.897999
3/19/19,53.493999
3/20/19,54.720001
